BRITANICII,,D MOLAN,19,,3,,Etapa a 7-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,16,,3,,Etapa a 7-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
4,Del Prato,PAR,0,,Du,,Grealish,EVE,0,,,4,Huijsen,RM,0,,Sa,,B Fernandes,MU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L Vazquez,BL,0,,Sa,,Cherki,MC,0,,,5,Milenkovic,NOT,0,,Sa,,Paqueta,WH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dorgu,MU,0,,Sa,,Soucek,WH,1,,,6,Guehi,CP,0,,Sa,,Szoboszlai,LIV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,M Alonso,CEL,0,,Du,,Sorloth,AM,0,,,7,Senesi,BOU,0,,Du,,H Kane,BM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Gyokeres,ARS,1,,,MIJLOCASI,,,,,#N/A,,Vinicius Jr,RM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Grifo,FRE,0,,Sa,,Balogun,MON,0,,,8,McTomminay,NAP,0,,Sa,,Saka,ARS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cherki,MC,0,,Du,PUNCTE,10,scor,2,0,,9,B Fernandes,MU,0,,Sa,PUNCTE,13,scor,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Soucek,WH,1,,Du,,formula,343,,,,10,Paqueta,WH,1,,Du,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Grealish,EVE,0,,Lu,,,,,,,11,H Barnes,NEW,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Claude-Maurice,AUG,0,,Vi,,,,,,,12,Szoboszlai,LIV,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Valverde,RM,0,,Sa,,,,,,,13,MacAllister,LIV,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pogba,MON,0,,Sa,,,,,,,14,D Rice,ARS,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
