TUNETUL FC,,A ISPAS,22,,1,,Etapa a 13-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,22,,3,,Etapa a 13-a,echipa,puncte,,,,,,,,,
3,Hakimi,PSG,0,DA,Sa,,Wirtz,LIV,0,,,3,Ait-Nouri,MC,0,,Sa,,Calhanoglu,INT,0,,,,,,,,,
4,TA Arnold,RM,0,,Sa,,Schmid,WB,0,,,4,Baku,LPZ,0,,Sa,,Valverde,RM,0,,,,,,,,,
5,J Tah,BM,0,,Du,,Pasalic,ATA,0,,,5,Rrahmani,NAP,0,NAP-PAR,R,,H Barnes,NEW,0,,,,,,,,,
6,Kerkez,LIV,0,,Sa,,Foden,MC,0,,,6,Pavlovic,MIL,0,COM-MIL,R,,Palmer,CHE,0,,,,,,,,,
7,R James,CHE,2,,Sa,,Doue,PSG,0,,,7,E Garcia,BAR,0,,Du,,Flemming,LEE,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Mbappe,RM,1,,,MIJLOCASI,,,,,#N/A,,Vlahovic,JUV,0,,,,,,,,,
8,Wirtz,LIV,0,,Sa,,J Alvarez,AM,0,,,8,Palmer,CHE,0,,Sa,,F Torres,BAR,0,,,,,,,,,
9,Foden,MC,0,,Sa,PUNCTE,22,scor,1,0,,9,Grifo,FRE,1,,Sa,PUNCTE,26,scor,0,0,,,,,,,,
10,Ben Seghir,BL,0,,Sa,,formula,343,,,,10,Calhanoglu,INT,0,INT-LEC,R,,formula,352,,,,,,,,,,
11,Minamino,MON,0,NU,Du,,,,,,,11,Valverde,RM,0,,Sa,,,,,,,,,,,,,
12,Schmid,WB,0,,Sa,,,,,,,12,H Barnes,NEW,0,,Sa,,,,,,,,,,,,,
13,Pasalic,ATA,0,,Du,,,,,,,13,Stanciu,GEN,0,,Du,,,,,,,,,,,,,
14,Nusa,LPZ,0,,Sa,,,,,,,14,Flemming,BUR,0,,Sa,,,,,,,,,,,,,10/24/2025
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Mbappe,RM,1,,Sa,,,,,,,15,F Torres,BAR,0,,Du,,,,,,,,,,,,,
16,J Alvarez,AM,0,,Du,,,,,,,16,Vlahovic,JUV,0,,Sa,,,,,,,,,,,,,
17,Doue,PSG,0,DA,Sa,,,,,,,17,Demirovic,STU,0,,Sa,,,,,,,,,,,,,
18,Beier,DOR,1,,Vi,,,,,,,18,Gimenez,MIL,0,COM-MIL,R,,,,,,,,,,,,,
19,R Leao,MIL,0,COM-MIL,R,,,,,,,19,Igamane,LIL,0,NU,Du,,,,,,,,,,,,,
20,Minteh,BRI,0,,Sa,,,,,,,20,Immobile,BOL,0,VER-BOL,R,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC COLENTINA,,M PANA,35,,1,,Etapa a 13-a,echipa,puncte,,,R.A.F.A.,,C MIHALA,18,,3,,Etapa a 13-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,AS ROMA,ROM,,2,,PORTARI,,,,,,,NAPOLI,NAP,,0,,,,,,,,
1,AS ROMA,ROM,2,,Sa,,Wesley,ROM,0,,,1,NAPOLI,NAP,0,NAP-PAR,R,,Struijk,LEE,0,,,,,,,,,
2,VILLAREAL,VIL,2,,Du,,Romero,TOT,0,,,2,AC MILAN,MIL,1,COM-MIL,R,,Hancko,AM,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Oppie,STP,0,,,FUNDASI,,,,,#N/A,,Senesi,BOU,0,,,,,,,,,
3,Wesley,ROM,0,,Sa,,Blas,REN,0,,,3,Huijsen,RM,0,,Sa,,Huijsen,RM,0,,,,,,,,,
4,Oppie,STP,0,,Du,,Del Castillo,BRE,0,,,4,Bremer,JUV,0,,Sa,,Wissa,NEW,0,,,,,,,,,
5,Romero,TOT,0,,Sa,,Lee JS,MAI,0,,,5,Hancko,AM,0,,Du,,Nebel,MAI,0,,,,,,,,,
6,A Paredes,BIL,0,,Lu,,Murphy,NEW,0,,,6,Struijk,LEE,0,,Sa,,Uzun,FRA,0,,,,,,,,,
7,Bisseck,INT,0,INT-LEC,R,,Haaland,MC,2,,,7,Senesi,BOU,0,,Sa,,S Larsen,WLV,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Castellanos,LAZ,0,,,MIJLOCASI,,,,,#N/A,,Budimir,OSA,2,,,,,,,,,
8,Mount,MU,0,,Du,,Thauvin,LEN,0,,,8,Wissa,NEW,0,,Sa,,M Kean,FIO,2,,,,,,,,,
9,Murphy,NEW,0,,Sa,PUNCTE,34,scor,2,2,,9,Nebel,MAI,0,,Du,PUNCTE,15,,4,0,,,,,,,,
10,Lee JS,MAI,0,,Du,,formula,343,,,,10,De Bruyne,NAP,0,NAP-PAR,R,,formula,433,,,,,,,,,,
