9,Gibbs-White,NOT,1,,Du,PUNCTE,38,scor,6,0,,9,Hein,MET,0,,Du,PUNCTE,54,scor,2,2,,,,,,,,
10,Szoboszlai,LIV,0,,Sa,,formula,343,,,,10,N Paz,COM,1,,Du,,formula,343,,,,,,,,,,
11,A Toure,LH,0,,Du,,,,,,,11,Soucek,WH,0,,Du,,,,,,,,,,,,,
12,Fornals,BET,1,,Du,,,,,,,12,Zielinski,INT,0,,Du,,,,,,,,,,,,,
13,Musiala,BM,0,,Sa,,,,,,,13,Merino,ARS,0,NU,Mi,,,,,,,,,,,,,
14,Soler,SOC,0,,Vi,,,,,,,14,Goretzka,BM,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Dembele,PSG,0,,Sa,,,,,,,15,Aubameyang,OM,0,,Du,,,,,,,,,,,,,
16,Sorloth,AM,0,,Du,,,,,,,16,N Jackson,BM,0,,Sa,,,,,,,,,,,,,
17,W Said,LEN,0,,Vi,,,,,,,17,Semenyo,MC,R,,R,,,,,,,,,,,,,
18,Konigsdorffer,HMB,0,,Sa,,,,,,,18,Cunha,MU,0,,Vi,,,,,,,,,,,,,
19,Jimenez,FUL,1,,Sa,,,,,,,19,B Iglesias,CEL,0,,Du,,,,,,,,,,,,,
20,Delap,CHE,0,,Sa,,,,,,,20,Kalimuendo,FRA,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC SONICS,,B MILEA,42,,1,,Etapa a 24-a,echipa,puncte,,,SILVA NEGRA,,S CORNEANU,55,,3,,Etapa a 24-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,ATALANTA,ATA,,0,,PORTARI,,,,,,,FRANKFURT,FRA,,2,,,,,,,,
1,ATALANTA,ATA,0,,Du,,TA Arnold,RM,0,,,1,REAL M,RM,2,,Du,,Baku,LPZ,0,,,,,,,,,
2,TOTTENHAM,TOT,3,,Du,,R James,CHE,0,,,2,FRANKFURT,FRA,2,,Du,,Pavlovic,MIL,2,,,,,,,,,
FUNDASI,,,,,#N/A,,Hakimi,PSG,0,,,FUNDASI,,,,,#N/A,,E Garcia,BAR,0,,,,,,,,,
3,Hakimi,PSG,0,,Sa,,Karl,BM,0,,,3,Ait-Nouri,MC,R,,R,,Flemming,BUR,1,,,,,,,,,
4,TA Arnold,RM,0,,Du,,Foden,MC,R,,,4,Baku,LPZ,0,,Vi,,Valverde,RM,1,,,,,,,,,
5,J Tah,BM,0,,Sa,,Promel,HOF,0,,,5,Rrahmani,NAP,0,,Vi,,H Barnes,NEW,0,,,,,,,,,
6,Kerkez,LIV,2,,Sa,,Nusa,LPZ,0,,,6,Pavlovic,MIL,2,,Sa,,Palmer,CHE,0,,,,,,,,,
7,R James,CHE,0,,Sa,,J Alvarez,AM,0,,,7,E Garcia,BAR,0,,Du,,F Torres,BAR,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Diomande,LPZ,0,,,MIJLOCASI,,,,,#N/A,,K Yildiz,JUV,1,,,,,,,,,
8,Wirtz,LIV,0,,Sa,,Beier,DOR,0,,,8,Palmer,CHE,0,,Sa,,Demirovic,STU,1,,,,,,,,,
9,Foden,MC,R,MC-CP,R,PUNCTE,41,scor,0,0,,9,Grifo,FRE,0,,Du,PUNCTE,52,scor,6,2,,,,,,,,
10,Promel,HOF,0,,Vi,,formula,343,,,,10,Calhanoglu,INT,0,,Du,,formula,343,,,,,,,,,,
11,Karl,BM,0,,Sa,,,,,,,11,Valverde,RM,1,,Du,,,,,,,,,,,,,
12,Schmid,WB,0,,Sa,,,,,,,12,H Barnes,NEW,0,,Du,,,,,,,,,,,,,
13,Pasalic,ATA,0,,Du,,,,,,,13,De Ketelaere,ATA,0,,Du,,,,,,,,,,,,,
14,Nusa,LPZ,0,,Vi,,,,,,,14,Flemming,BUR,1,,Sa,,,,,,,,,,,,,10/24/2025
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Mbappe,RM,0,,Du,,,,,,,15,F Torres,BAR,0,,Du,,,,,,,,,,,,,
16,J Alvarez,AM,0,,Du,,,,,,,16,J David,JUV,0,,Sa,,,,,,,,,,,,,
17,Doue,PSG,1,,Sa,,,,,,,17,Demirovic,STU,1,,Du,,,,,,,,,,,,,
