BRITANICII,,D MOLAN,32,,0,,Etapa a 16-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,32,,3,,Etapa a 16-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
PORTARI,,,,,,,BARCELONA,BAR,,0,,PORTARI,,,,,,,LYON,LYO,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BARCELONA,BAR,0,,Du,,Ruibal,BET,0,,,1,LYON,LYO,2,,Du,,Kubler,FRE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ATALANTA,ATA,0,,Du,,Beste,FRE,0,,,2,VILLAREAL,VIL,2,,Sa,,Diks,MNG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Kounde,BAR,0,,,FUNDASI,,,,,#N/A,,Cabrera,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chalobah,CHE,0,,Du,,El Mala,KOL,0,,,3,Kubler,FRE,0,,Du,,Uzun,FRA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,R Gomes,WLV,0,,Sa,,E Fernandez,CHE,1,,,4,Diks,MNG,0,,Du,,Smith Rowe,FUL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Kounde,BAR,0,,Du,,Amiri,MAI,1,,,5,Cabrera,ESP,0,,Sa,,Guler,RM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ruibal,BET,0,,Du,,Fermin L,BAR,0,,,6,Muheim,HMB,0,,Vi,,H Traore,OM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Beste,FRE,0,,Du,,Olmo,BAR,1,,,7,Rrahmani,NAP,0,,Du,,Kramaric,HOF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,L Diaz,BM,0,,,MIJLOCASI,,,,,#N/A,,Scamacca,ATA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Olmo,BAR,1,,Du,,Ekitike,LIV,0,,,8,De Bruyne,NAP,0,,Du,,Mbappe,RM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Amiri,MAI,1,,Sa,PUNCTE,31,scor,3,0,,9,Uzun,FRA,0,,Sa,PUNCTE,40,scor,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,E Fernandez,CHE,1,,Du,,formula,352,,,,10,Guler,RM,0,,Sa,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ben Seghir,BL,0,,#REF!,,,,,,,11,H Traore,OM,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fermin L,BAR,0,,Du,,,,,,,12,Anguissa,NAP,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Karabec,LYO,0,,Du,,,,,,,13,A Santos,CHE,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
